id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
EUREX,True,0.835,0.0,True,0.665,FESX,future
EUREX,True,0.835,0.0,True,0.665,FGBL,future
EUREX,True,0.835,0.0,True,0.665,FGBM,future
EUREX,True,0.835,0.0,True,0.665,FGBS,future
EUREX,True,0.835,0.0,True,0.665,FOAM,future
EUREX,True,0.835,0.0,True,0.665,FOAT,future
EUREX,True,0.835,0.0,True,0.665,FRDX,future
EUREX,True,0.835,0.0,True,0.665,FSMI,future
EUREX,True,0.835,0.0,True,0.665,FSTA,future
EUREX,True,0.835,0.0,True,0.665,FSTE,future
EUREX,True,0.835,0.0,True,0.665,FSTL,future
EUREX,True,0.835,0.0,True,0.665,FSTY,future
EUREX,True,0.835,0.0,True,0.665,FVS,future
EURONEXT,False,0.835,0.0,True,0.665,,future
EURONEXT,True,0.835,0.0,True,0.665,EBM,future
EURONEXT,True,0.835,0.0,True,0.665,ECO,future
EURONEXT,True,0.835,0.0,True,0.665,EMA,future
EURONEXT,True,0.835,0.0,True,0.665,FCE,future
EURONEXT,True,0.835,0.0,True,0.665,FTI,future
EURONEXT,True,0.835,0.0,True,0.665,MFA,future
EURONEXT,True,0.835,0.0,True,0.665,MFC,future
FORTS,False,0.72,0.0,True,0.28,,future
FORTS,True,0.72,0.0,True,0.28,BR,future
FORTS,True,0.72,0.0,True,0.28,CHMF,future
FORTS,True,0.72,0.0,True,0.28,CY,future
FORTS,True,0.72,0.0,True,0.28,ED,future
FORTS,True,0.72,0.0,True,0.28,EU,future
FORTS,True,0.72,0.0,True,0.28,GAZR,future
FORTS,True,0.72,0.0,True,0.28,GBPU,future
FORTS,True,0.72,0.0,True,0.28,GMKR,future
FORTS,True,0.72,0.0,True,0.28,GOLD,future
FORTS,True,0.72,0.0,True,0.28,HYDR,future
FORTS,True,0.72,0.0,True,0.28,LKOH,future
FORTS,True,0.72,0.0,True,0.28,MGNT,future
FORTS,True,0.72,0.0,True,0.28,MIX,future
FORTS,True,0.72,0.0,True,0.28,MTSI,future
FORTS,True,0.72,0.0,True,0.28,MXI,future
FORTS,True,0.72,0.0,True,0.28,NLMK,future
FORTS,True,0.72,0.0,True,0.28,NOTK,future
FORTS,True,0.72,0.0,True,0.28,OF15,future
FORTS,True,0.72,0.0,True,0.28,OFZ2,future
FORTS,True,0.72,0.0,True,0.28,OFZ4,future
FORTS,True,0.72,0.0,True,0.28,PLD,future
FORTS,True,0.72,0.0,True,0.28,PLT,future
FORTS,True,0.72,0.0,True,0.28,ROSN,future
